Date,Clicks,Impressions
2022-10-19,2851,58598
2022-10-20,2707,57628
2022-10-21,2246,50135
2022-10-22,1686,40608
2022-10-23,1808,41999
2022-10-24,2037,50894
2022-10-25,2594,54118
2022-10-26,2634,56119
2022-10-27,2722,55424
2022-10-28,2462,50140
2022-10-29,2009,43751
2022-10-30,2434,48686
2022-10-31,2877,59173
2022-11-01,3160,63499
2022-11-02,3112,62262
2022-11-03,3504,64754
2022-11-04,2848,56821
2022-11-05,2190,48757
2022-11-06,2957,57175
2022-11-07,3600,66577
2022-11-08,3720,72052
2022-11-09,3460,66740
2022-11-10,3216,61927
2022-11-11,2566,55716
2022-11-12,2248,46012
2022-11-13,2766,51978
2022-11-14,3303,62128
2022-11-15,3522,63646
2022-11-16,3442,61456
2022-11-17,3322,60863
2022-11-18,2756,51510
2022-11-19,2172,44779
2022-11-20,2693,52463
2022-11-21,3647,66160
2022-11-22,3525,66210
2022-11-23,3510,64933
2022-11-24,3117,60396
2022-11-25,2551,52350
2022-11-26,2175,47873
2022-11-27,2690,56491
2022-11-28,3449,69224
2022-11-29,3348,67232
2022-11-30,3330,67120
2022-12-01,3152,63186
2022-12-02,2555,56125
2022-12-03,2129,47422
2022-12-04,2663,57521
2022-12-05,3147,66753
2022-12-06,3227,63195
2022-12-07,3058,63482
2022-12-08,3169,60484
2022-12-09,2687,53403
2022-12-10,2228,48735
2022-12-11,2693,55585
2022-12-12,3275,68639
2022-12-13,3256,70365
2022-12-14,3257,69342
2022-12-15,2991,61929
2022-12-16,2420,52623
2022-12-17,1976,43744
2022-12-18,2205,49776
2022-12-19,2816,64781
2022-12-20,2790,62489
2022-12-21,2653,59125
2022-12-22,2475,57326
2022-12-23,1948,48908
2022-12-24,1503,40551
2022-12-25,1768,41688
2022-12-26,2248,49951
2022-12-27,2361,53652
2022-12-28,2269,51981
2022-12-29,2278,51554
2022-12-30,1884,46294
2022-12-31,1223,36261
2023-01-01,1721,40572
2023-01-02,2442,51399
2023-01-03,2762,57944
2023-01-04,2701,60224
2023-01-05,2726,58803
2023-01-06,2381,52007
2023-01-07,1988,46705
2023-01-08,2495,53475
2023-01-09,2974,62762
2023-01-10,2952,60637
2023-01-11,2902,62548
2023-01-12,2800,58524
2023-01-13,2178,49613
2023-01-14,1687,42636
2023-01-15,2076,47751
2023-01-16,2669,58851
2023-01-17,2874,60651
2023-01-18,2940,63114
2023-01-19,3158,63173
2023-01-20,2555,57440
2023-01-21,1979,50836
2023-01-22,2522,55113
2023-01-23,3159,67136
2023-01-24,3193,68240
2023-01-25,2577,60252
2023-01-26,2762,58511
2023-01-27,2553,57281
2023-01-28,1908,48374
2023-01-29,2527,55202
2023-01-30,3248,65760
2023-01-31,3259,65001
2023-02-01,3046,65027
2023-02-02,2985,64896
2023-02-03,2463,57165
2023-02-04,1918,47150
2023-02-05,2541,59782
2023-02-06,3029,68754
2023-02-07,3236,71859
2023-02-08,3110,69951
2023-02-09,3010,66312
2023-02-10,2405,58349
2023-02-11,1949,50125
2023-02-12,2390,57149
2023-02-13,3060,66150
2023-02-14,2898,63575
2023-02-15,3110,64869
2023-02-16,2812,64048
2023-02-17,2109,55478
2023-02-18,1764,48009
2023-02-19,2384,53480
2023-02-20,3068,65136
2023-02-21,3228,67318
2023-02-22,3171,68558
2023-02-23,2873,63661
2023-02-24,2310,54957
2023-02-25,1817,46957
2023-02-26,2380,53850
2023-02-27,2963,68492
2023-02-28,2749,62679
2023-03-01,2725,63614
2023-03-02,2608,64274
2023-03-03,2173,54301
2023-03-04,1700,45275
2023-03-05,2035,52416
2023-03-06,2577,64683
2023-03-07,2463,60720
2023-03-08,2449,59847
2023-03-09,2795,63216
2023-03-10,2193,52915
2023-03-11,1691,46416
2023-03-12,1975,52418
2023-03-13,2712,64678
2023-03-14,2821,63976
2023-03-15,2831,63738
2023-03-16,2599,61663
2023-03-17,2027,52070
2023-03-18,1556,40515
2023-03-19,1785,43985
2023-03-20,2434,53239
2023-03-21,2008,47987
2023-03-22,1944,44058
2023-03-23,2112,45881
2023-03-24,1790,39338
2023-03-25,1351,32935
2023-03-26,1781,39715
2023-03-27,2146,46612
2023-03-28,2273,46955
2023-03-29,2374,51249
2023-03-30,2496,55835
2023-03-31,2085,48374
2023-04-01,1586,39188
2023-04-02,1838,47348
2023-04-03,2361,55638
2023-04-04,2366,57928
2023-04-05,2336,52944
2023-04-06,1892,48935
2023-04-07,1708,43961
2023-04-08,1605,41033
2023-04-09,1864,46489
2023-04-10,2250,55657
2023-04-11,2627,59042
2023-04-12,2464,58836
2023-04-13,2033,52427
2023-04-14,1863,49554
2023-04-15,1534,41933
2023-04-16,1984,47269
2023-04-17,2460,59654
2023-04-18,2443,57893
2023-04-19,2364,58229
2023-04-20,2420,58437
2023-04-21,1784,47677
2023-04-22,1448,39714
2023-04-23,1880,47739
2023-04-24,2497,60448
2023-04-25,2599,62509
2023-04-26,2403,59893
2023-04-27,2239,57149
2023-04-28,2046,49272
2023-04-29,1531,40413
2023-04-30,1699,45129
2023-05-01,2227,55741
2023-05-02,2377,58376
2023-05-03,2310,56354
2023-05-04,2184,55453
2023-05-05,1836,50664
2023-05-06,1403,40167
2023-05-07,1646,43471
2023-05-08,2135,52458
2023-05-09,2154,53312
2023-05-10,2120,53132
2023-05-11,1918,51695
2023-05-12,1611,44434
2023-05-13,1248,38841
2023-05-14,1571,43349
2023-05-15,2060,51227
2023-05-16,2107,52682
2023-05-17,2065,51810
2023-05-18,1981,50483
2023-05-19,1624,45474
2023-05-20,1325,40729
2023-05-21,1551,47662
2023-05-22,1961,53901
2023-05-23,1993,52243
2023-05-24,1989,49957
2023-05-25,1876,50665
2023-05-26,1570,45490
2023-05-27,1250,41968
2023-05-28,1447,42649
2023-05-29,1748,47325
2023-05-30,1863,48227
2023-05-31,1724,45104
2023-06-01,1704,48332
2023-06-02,1444,42647
2023-06-03,1061,35793
2023-06-04,1298,40498
2023-06-05,1704,47239
2023-06-06,1645,46110
2023-06-07,1660,46747
2023-06-08,1628,45693
2023-06-09,1352,41983
2023-06-10,1115,35078
2023-06-11,1335,39173
2023-06-12,1681,49233
2023-06-13,1778,47780
2023-06-14,1725,47017
2023-06-15,1649,46029
2023-06-16,1336,42306
2023-06-17,1093,35746
2023-06-18,1232,39640
2023-06-19,1680,47020
2023-06-20,1767,49698
2023-06-21,1868,46591
2023-06-22,1699,45820
2023-06-23,1423,41797
2023-06-24,1044,34626
2023-06-25,1281,41586
2023-06-26,1604,49077
2023-06-27,1733,53241
2023-06-28,1349,43045
2023-06-29,1368,43304
2023-06-30,1116,35279
2023-07-01,885,33864
2023-07-02,1010,36963
2023-07-03,1266,39545
2023-07-04,1247,37518
2023-07-05,1315,37206
2023-07-06,1279,35696
2023-07-07,1022,32131
2023-07-08,816,26489
2023-07-09,1012,32370
2023-07-10,1361,39509
2023-07-11,1345,37831
2023-07-12,1337,36665
2023-07-13,1459,35534
2023-07-14,1179,31628
2023-07-15,1023,30327
2023-07-16,1416,35691
2023-07-17,1634,44308
2023-07-18,1674,44488
2023-07-19,2066,43284
2023-07-20,1712,43334
2023-07-21,1433,37125
2023-07-22,1012,33003
2023-07-23,1277,36029
2023-07-24,1615,43539
2023-07-25,1664,44525
2023-07-26,1610,43909
2023-07-27,1609,42080
2023-07-28,1468,38718
2023-07-29,1133,32625
2023-07-30,1310,33731
2023-07-31,1641,44217
2023-08-01,1668,43712
2023-08-02,1547,43899
2023-08-03,1601,44086
2023-08-04,1323,39448
2023-08-05,1168,32726
2023-08-06,1389,37998
2023-08-07,1717,43042
2023-08-08,1803,43576
2023-08-09,1817,43580
2023-08-10,1673,39964
2023-08-11,1453,35085
2023-08-12,1257,30893
2023-08-13,1465,34957
2023-08-14,1495,39390
2023-08-15,1538,38532
2023-08-16,1735,42913
2023-08-17,1942,42585
2023-08-18,1513,39153
2023-08-19,1212,33548
2023-08-20,1490,40522
2023-08-21,1876,46610
2023-08-22,1961,47440
2023-08-23,1906,46611
2023-08-24,1738,46133
2023-08-25,1377,41032
2023-08-26,1132,34167
2023-08-27,1339,37281
2023-08-28,1615,43585
2023-08-29,1680,42223
2023-08-30,1583,40260
2023-08-31,1696,40958
2023-09-01,1262,39689
2023-09-02,1045,35559
2023-09-03,1389,42753
2023-09-04,1721,46786
2023-09-05,1733,49976
2023-09-06,1718,45325
2023-09-07,1679,44146
2023-09-08,1564,44338
2023-09-09,1194,36181
2023-09-10,1420,40184
2023-09-11,1989,48899
2023-09-12,1951,49250
2023-09-13,1993,51198
2023-09-14,1888,47714
2023-09-15,1537,41375
2023-09-16,1078,34663
2023-09-17,1325,38775
2023-09-18,1620,45954
2023-09-19,1819,48833
2023-09-20,2005,50615
2023-09-21,1901,50327
2023-09-22,1688,45947
2023-09-23,1215,38163
2023-09-24,1466,42490
2023-09-25,1859,50734
2023-09-26,2026,53241
2023-09-27,1725,50244
2023-09-28,1731,46209
2023-09-29,1655,40760
2023-09-30,1125,33025
2023-10-01,1245,38962
2023-10-02,1760,47171
2023-10-03,2004,50917
2023-10-04,1921,50151
2023-10-05,1874,48428
2023-10-06,1532,40181
2023-10-07,1090,33054
2023-10-08,1375,37792
2023-10-09,1756,44926
2023-10-10,1939,41155
2023-10-11,1902,39346
2023-10-12,1583,39266
2023-10-13,1237,33301
2023-10-14,885,28487
2023-10-15,1180,33440
2023-10-16,1624,41688
2023-10-17,1751,40957
2023-10-18,1573,40351